tipo,cidade/uf,bairro,endereço,área_total,área_construída,valor,descricao,iptu,condomínio
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Cavaleiro da Rosa, 157","200,00 m²","157,00 m²","R$190.000,00","Aceita permuta,Asfalto,Calçada,Esgoto,Muro,Rede elétrica",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Cavalheiro Rosa, 77","200,00 m²","95,00 m²","R$320.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Imóvel alugado com renda,Rede elétrica,Sala de jantar,Sala de TV,2 Quarto(s),1 Varanda,2 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Cozinha planejada,Lavanderia,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Caxias do Sul,"480,00 m²",,"R$1.190.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,6 Vaga(s) de garagem,Alarme,Câmeras de segurança,Cerca elétrica,Churrasqueira,Cozinha planejada,Deck,Energia solar fotovoltaica,Interfone,Jardim,Piscina,Piscina aquecida,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Caxias do Sul, 1003","480,00 m²","243,00 m²","R$1.190.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,1 Varanda,1 Wc social,4 Vaga(s) de garagem,Academia,Área de lazer,Área de serviço,Cerca elétrica,Churrasqueira,Copa,Cozinha,Cozinha planejada,Depósito,Despensa,Energia solar fotovoltaica,Escritório,Interfone,Jardim,Lavabo,Lavanderia,Piscina,Piscina aquecida,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Caxias do Sul, 1003","480,00 m²","271,90 m²","R$1.190.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,2 Wc social,9 Vaga(s) de garagem,Área de serviço,Câmeras de segurança,Cerca elétrica,Churrasqueira,Cozinha,Cozinha planejada,Edícula,Energia solar fotovoltaica,Escritório,Jardim,Piscina,Piscina aquecida,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Caxias do Sul, 1229","360,00 m²","176,00 m²","R$1.300.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,3 Suíte(s) com a/e,2 Varanda(s),2 Wc social,3 Vaga(s) de garagem,Alarme,Aquecedor solar,Área de serviço,Câmeras de segurança,Cerca elétrica,Churrasqueira,Cozinha americana,Cozinha planejada,Hall de entrada,Home theater,Interfone,Jardim,Lavabo,Lavanderia,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Caxias do Sul, 1273","360,00 m²","210,00 m²","R$390.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,2 Sala(s) de estar,2 Sala(s) de jantar,2 Sala(s) de TV,5 Quarto(s),1 Varanda,2 Wc social,7 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Caxias do Sul, 406","868,00 m²","237,00 m²","R$950.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,2 Sala(s) de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,4 Apto(s) com a/e,1 Quarto com a/e,3 Varanda(s),3 Wc social,8 Vaga(s) de garagem,Alarme,Antena parabólica,Área de lazer,Área de serviço,Árvores frutíferas,Cerca elétrica,Copa,Cozinha,Cozinha planejada,Depósito,Despensa,Gazebo,Portão elétrico,Quarto empregada,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Caxias do Sul, 487","492,00 m²","250,00 m²","R$580.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),2 Varanda(s),1 Wc social,6 Vaga(s) de garagem,Área de serviço,Árvores frutíferas,Canil,Churrasqueira,Copa,Cozinha planejada,Interfone,Jardim",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Chapada dos Guimarães, 69","100,00 m²","50,00 m²","R$165.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,2 Quarto(s),1 Wc social,Área de serviço,Cozinha,Jardim",,
