tipo,cidade/uf,bairro,endereço,área_total,área_construída,iptu,valor,descricao,condomínio
Casa-Térrea,Campo Grande - MS,Parque Rita Vieira,R. Rotterdan,"180,00 m²","89,00 m²",,"R$400.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte com a/e,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Parque Rita Vieira,,"360,00 m²","160,00 m²",,"R$920.000,00","Aceita financiamento,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,2 Apto(s),1 Wc social,2 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Pioneiros,,"360,00 m²","220,00 m²",,"R$850.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),2 Varanda(s),2 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha,Lavabo,Lavanderia,Piscina,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Pioneiros,,"360,00 m²","180,00 m²",,"R$850.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,2 Wc social,3 Vaga(s) de garagem,Alarme,Cerca elétrica,Churrasqueira,Cozinha,Jardim,Lavabo,Lavanderia,Pé direito duplo,Piscina,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Porto Belo,"R. Domingos de Moraes, 62","360,00 m²","192,57 m²",,"R$650.000,00","Aceita financiamento,2 Suíte(s),2 Quarto(s),1 Varanda,2 Wc social,5 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Pq. Residencial União,"R. João Ribeiro Guimarães, 150","360,00 m²","135,63 m²","R$ 1.436,96","R$390.000,00","Aceita financiamento,Água,Asfalto,Esgoto,Imóvel alugado com renda,Muro,Rede elétrica,Sala de jantar,1 Suíte com a/e,2 Quarto(s) com a/e,1 Varanda,Área de serviço,Cozinha,Edícula,Lavanderia",
Casa-Térrea,Campo Grande - MS,Residencial Búzios,,"360,00 m²","108,00 m²",,"R$370.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Imóvel alugado com renda,Muro,Piso tátil,Rampa de acessibilidade,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Varanda(s),2 Vaga(s) de garagem,Churrasqueira,Jardim,Pé direito duplo",
Casa-Térrea,Campo Grande - MS,Residencial Figueiras do Parque,,,,,"R$250.000,00","Sala de estar,Sala de jantar,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Residencial Sírio Libanês I,,"180,00 m²","90,00 m²",,"R$375.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,1 Vaga de garagem,Área de serviço,Cerca elétrica,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Residencial Sírio Libanês I,,"120,00 m²","60,00 m²",,"R$260.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Wc social,1 Vaga de garagem,Área de serviço,Cerca elétrica,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Residencial Sírio Libanês I,,"140,00 m²","70,00 m²",,"R$370.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Wc social,1 Vaga de garagem,Área de serviço,Cerca elétrica,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Residencial Sírio Libanês I,,"100,00 m²","54,00 m²",,"R$250.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Suíte,1 Quarto,1 Wc social,1 Vaga de garagem,Área de serviço,Cerca elétrica,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Residencial Sírio Libanês I,,"122,50 m²","60,60 m²",,"R$260.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Wc social,1 Vaga de garagem,Área de serviço,Cerca elétrica,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Residencial Sírio Libanês I,,"140,00 m²","75,00 m²",,"R$290.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cozinha,Cozinha americana,Jardim,Lavanderia",
